EAN,PRODUTO,REFERENCIA,DESCRICAO,COR,TAMANHO,ESTOQUE,LOCALIZADOR
9000005116721,538127,231004021,BLUSA PLANA ESTAMPADA,ESTAMPAS DIVERSAS,GG,0,NAO INFORMADO
9000004935071,523296,131003551,T-SHIRT LISA SLUB C/ DET. DE PREGAS,CORAL,M,0,42 01 04
9000005134145,539763,131003730,T-SHIRT LISA EM CREPE C/ MANGA PESPONTADA,MOSTARDA,XG,0,05 12 06
9000005125112,538909,133000863,CALÇA AZULEJO MÁLAGA COM ELÁSTICO,ESTAMPADO,40,0,03 08 06
9000005170990,542466,235001241,SHORT SAIA PLANO COM DET. DE VIÉS NO BOLSO,NATURAL,36,0,06 03 06
9000005156857,541350,232001953,VESTIDO PLANO LISO MANGA LONGA GODÊ,AZUL,GG,0,06 12 05
9000005163671,541871,233000267,CALÇA PLANA CARGO LISA,PINK,36,0,07 11 05
9000005168966,542287,233000270,CALÇA PLANA LISA AMPLA,AZUL,42,0,06 02 05
9000005136439,539950,235001235,SHORT PLANO ESTAMPA FÁBULA,ESTAMPADO,P,0,06 01 05
9000005122371,538651,135001009,BERMUDA EM LINHO COM VIVO LATERAL,AMARELO,42,0,03 01 05
9000005092490,536065,231003984,T-SHIRT CROPPED ESTAMPADA,ESTAMPADO,G,0,10 12 04
9000005092513,536067,231003984,T-SHIRT CROPPED ESTAMPADA,ESTAMPADO,XG,0,10 12 04
9000005145929,540636,132001474,VESTIDO LONGUETE COQUEIRO,BEGE,G,0,03 12 04
9000005031758,531215,131003718,T-SHIRT LISA C/ DET. DE PREGA NA MANGA,AMARELO,GG,0,10 07 04
9000005129219,539272,231003979,CROPPED PLANA LISA COM DET AVIAMENTO DECOTE,ROSA,G,0,08 05 04
9000005129233,539273,231003979,CROPPED PLANA LISA COM DET AVIAMENTO DECOTE,ROSA,GG,0,08 05 04
9000004980583,527084,133000807,CALÇA FLOW LISA C/ PREGA NA FRENTE,VERDE,46,0,11 04 04
9000005051381,532802,133000807,CALÇA FLOW LISA C/ PREGA NA FRENTE,BEGE,46,0,11 04 04
9000005121473,538589,232001918,VESTIDO PLANO LONGO LISO C/ ELÁSTICO CINTURA,NUDE,GG,0,10 12 03
9000005216810,546032,233000271,CALÇA PLANA LISA COM DET. DE VIÉS NO BOLSO,VERDE,36,0,07 09 03
9000005104308,537095,137000624,MACACÃO LISO MANGA AMPLA COM ZÍPER COSTA,AZUL,M,0,05 09 03
9000005045212,532358,135000982,BERMUDA AMPLA LISA EM VISCOSE C/ VIVO,OFF WHITE,36,0,11 08 03
9000005045229,532359,135000982,BERMUDA AMPLA LISA EM VISCOSE C/ VIVO,OFF WHITE,38,0,11 08 03
9000005124405,538838,132001457,T-DRESS CERRO DE LA PLATA,ESTAMPADO,G,0,02 04 03
9000005019909,530112,231003920,REGATA LISA CAVA VERÃO,DIVERSOS,G,0,10 12 02
9000005019992,530116,231003921,T-SHIRT LISA EM CREPE COM PREGAS NA MANGA,DIVERSOS,M,0,10 12 02
9000005106722,537335,231003994,REGATA CAVA VERÃO ESTAMPADA TWILL,ESTAMPAS DIVERSAS,M,0,10 12 02
9000005114154,537958,233000262,CALÇA PLANA PANTALONA ESTAMPA PLUMÉRIA,ESTAMPADO,M,0,10 12 02
9000005154716,541213,131003901,T-SHIRT VILLA COQUEIRO C/ VIVO,ESTAMPADO,GG,0,01 06 02
9000005014096,529580,131003699,T-SHIRT LISA GOLA PADRE C/ MANGA COPINHO,ROSE,P,0,10 04 02
9000005038207,531695,231003924,BLUSA PLANA MANGA BUFANTE ESTAMPADA,ESTAMPADO,GG,0,10 12 01
9000005098737,536595,231003990,REGATA ESTAMPADA C/ ALÇA LARGA,ESTAMPADO,PP,0,10 12 01
9000005098744,536596,231003990,REGATA ESTAMPADA C/ ALÇA LARGA,ESTAMPADO,P,0,10 12 01
9000005098782,536600,231003990,REGATA ESTAMPADA C/ ALÇA LARGA,ESTAMPADO,XG,0,10 12 01
9000005115250,538030,231004011,T-SHIRT ESTAMPADA EM CREPE,ESTAMPAS DIVERSAS,XG,0,10 12 01
9000005072775,534577,133000843,CALÇA PANTALONA LISA C/ BOLSO,DIVERSOS,42,0,10 11 01
9000004959381,525435,322000246,VESTIDO MALHA CURTO LISO ALÇA LARGA,MOSTARDA,4,0,35 02 04
9000004956489,525131,121001829,BLUSA DE MALHA C/ OMBREIRA E PEDRARIA FRENTE,BRANCO,GG,6,11 09 02
9000004992012,527907,131003665,T-SHIRT LISA EM VISCOSE C/ VIVO,AMARELO,GG,4,11 09 02
9000005035466,531424,133000802,PANTALONA LISA DOBBY C/ BRAGUILHA TRANSPASSADA,PRETO,40,6,11 09 02
9000005035480,531425,133000802,PANTALONA LISA DOBBY C/ BRAGUILHA TRANSPASSADA,PRETO,42,1,11 09 02
9000004966020,526016,131003640,BLUSA LISA DOBBY COM PREGAS NA MANGA,BEGE,GG,2,11 09 01
9000004978269,526870,131003650,REGATA PLISSADA FLORAL BEIRA MAR,ESTAMPADO,GG,22,11 09 01
9000005069478,534282,132001396,VESTIDO LONGO LISO EM CREPE C/ MANGA RAGLAN E SAIA RETA,ROSA,M,1,11 08 04
9000005009320,529225,132001396,VESTIDO LONGO LISO EM CREPE C/ MANGA RAGLAN E SAIA RETA,VERMELHO,P,7,11 08 04
9000005009351,529226,132001396,VESTIDO LONGO LISO EM CREPE C/ MANGA RAGLAN E SAIA RETA,VERMELHO,M,2,11 08 04
9000005009382,529227,132001396,VESTIDO LONGO LISO EM CREPE C/ MANGA RAGLAN E SAIA RETA,VERMELHO,G,2,11 08 04
9000005009412,529228,132001396,VESTIDO LONGO LISO EM CREPE C/ MANGA RAGLAN E SAIA RETA,VERMELHO,GG,1,11 08 04
9000005024255,530507,121001844,T-SHIRT MALHA C/ PEDRARIA FRENTE E MANGA,BRANCO,GG,3,11 08 03
9000005024316,530513,121001845,T-SHIRT C/ MANGA ACETINADA C/ PEDRARIA OURO FRENTE,BRANCO,GG,11,11 08 03
9000004993613,528044,131003668,BLUSA PRAIA MANSA C/ AMARRAÇÃO COSTA,ESTAMPADO,GG,3,11 08 03
9000004989005,527687,132001372,VESTIDO MIDI LISO ALFAIATARIA C/ DET. DE DOBRÃO,BEGE,P,2,11 08 03
9000004989098,527690,132001372,VESTIDO MIDI LISO ALFAIATARIA C/ DET. DE DOBRÃO,BEGE,GG,8,11 08 03
9000005035961,531471,133000811,CALÇA PERNA RETA LISA ALFAIATARIA SATIN SHINE,VERDE,40,6,11 08 03
9000004991640,527876,135000982,BERMUDA AMPLA LISA EM VISCOSE C/ VIVO,AMARELO,40,3,11 08 03
9000004991626,527881,135000982,BERMUDA AMPLA LISA EM VISCOSE C/ VIVO,LARANJA,38,2,11 08 03
9000004991657,527882,135000982,BERMUDA AMPLA LISA EM VISCOSE C/ VIVO,LARANJA,40,1,11 08 03
9000005053163,532971,137000612,MACAQUINHO LISO ALFAIATARIA SATIN C/ CINTO,BEGE,GG,5,11 08 03
9000004994597,528121,131003672,T-SHIRT RAGLAN FLOR DA PRAIA,ESTAMPADO,GG,5,11 08 02
9000005022787,530388,134000744,SAIA LONGA LISA EM VISCOSE C/ FENDA FRENTE E TRANÇA,AMARELO,38,6,11 08 02
